IBS0	IBS1	IBS2	maxlen
X3W6.8	0.999930138733145	6.98612668550736e-05	0	172140
X3W6.9	0.98200127288227	0.0179987271177296	0	26706358
X3W7.1	1	0	0	0
X3W7.10	0.999843523515751	0.000156476484249377	0	385484
X3W7.11	0.999430736134868	0.000569263865132285	0	528504
X3W7.12	0.999257041313037	0.000742958686962944	0	1816583
X3W7.13	0.535750149665302	0.464249850334698	0	175341597
X3W7.14	0.998789751491553	0.0012102485084471	0	2776928
X3W7.15	0.996931141353024	0.00306885864697581	0	1726050
X3W7.16	0.44149941885058	0.55850058114942	0	156259509
X3W7.17	0.985223051503447	0.0147769484965528	0	27009586
X3W7.2	0.988084448408668	0.011915551591332	0	29077824
X3W7.20	0.999680115560144	0.000319884439855639	0	462661
X3W7.21	1	0	0	0
X3W7.22	0.994361892917508	0.00563810708249163	0	13785725
X3W7.23	0.997737726442677	0.00226227355732254	0	3905826
X3W7.24	0.999444000181958	0.000555999818041856	0	649064
X3W7.3	0.999979072714328	2.0927285672286e-05	0	51522
X3W7.4	0.813355949155512	0.186644050844488	0	42945210
X3W7.5	0.998836533870567	0.00116346612943312	0	897652
X3W7.6	1	0	0	0
X3W7.7	0.71911541911784	0.28088458088216	0	111175185
X3W7.8	0.999611201472107	0.000388798527893403	0	919659
X3W7.9	1	0	0	0
X3W8.11	0.268704703156063	0.731295296843936	0	172463287
X3W8.12	1	0	0	0
X3W8.14	0.418773837870901	0.581226162129099	0	166497205
X3W8.15	0.984174763859681	0.0158252361403189	0	38935780
X3W8.16	1	0	0	0
X3W8.17	0.999755550545217	0.000244449454782553	0	601832
X3W8.19	1	0	0	0
X3W8.2	0.999870360872712	0.000129639127287965	0	319207
X3W8.20	1	0	0	0
X3W8.21	1	0	0	0
X3W8.23	1	0	0	0
X3W8.24	0.954195837836318	0.0458041621636817	0	71350018
X3W8.3	1	0	0	0
X3W8.5	1	0	0	0
X3W8.6	1	0	0	0
X3W8.7	1	0	0	0
X3W8.8	0.997441308563512	0.00255869143648804	0	6302370
X3W8.9	0.980665930614852	0.0193340693851478	0	27852696
X3W9.1	1	0	0	0
X3W9.10	1	0	0	0
X3W9.13	0.991131653873466	0.00886834612653391	0	8951541
X3W9.14	1	0	0	0
X3W9.16	0.00110241632415801	0.998897583675842	0	191646241
X3W9.17	1	0	0	0
X3W9.18	0.99931427900092	0.000685720999080354	0	1688704
X3W9.19	1	0	0	0
X3W9.2	1	0	0	0
X3W9.21	0.905873788824048	0.0941262111759523	0	76291539
X3W9.22	0.984326367204422	0.0156736327955781	0	27088727
X3W9.23	0.98327762525456	0.0167223747454396	0	40005938
X3W9.24	0.998766481838458	0.0012335181615418	0	1290407
X3W9.3	1	0	0	0
X3W9.4	0.00604487105830024	0.9939551289417	0	246611174
X3W9.5	0.999465245658571	0.000534754341429465	0	659769
X3W9.6	0.530021374186376	0.469978625813624	0	159136958
X3W9.7	1	0	0	0
X3W9.8	1	0	0	0
